id,title,url,views,genre
79,8 3   Feature Based Linear Classifiers,https://www.youtube.com/watch?v=7-7MlBdy3EE,0,Videos
80,8 4   Building a Maxent Model  The Nuts and Bolts,https://www.youtube.com/watch?v=uRJjelMVcPA,0,Videos
81,8 5   Generative vs Discriminative models,https://www.youtube.com/watch?v=_Niy2f-M9KA,0,Videos
82,8 6   Maximizing the Likelihood,https://www.youtube.com/watch?v=E1k2bG6fKrY,0,Videos
83,9 1   Introduction to Information Extraction,https://www.youtube.com/watch?v=ARsDDLffoMk,0,Videos
84,9 2   Evaluation of Named Entity Recognition,https://www.youtube.com/watch?v=0qWDkRdWbSw,0,Videos
85,9 3   Sequence Models for Named Entity Recognition,https://www.youtube.com/watch?v=m8RrR5GORLg,0,Videos
86,9 4   Maximum Entropy Sequence Models,https://www.youtube.com/watch?v=s2QL2VML0Qo,0,Videos
87,10 1   What is Relation Extraction,https://www.youtube.com/watch?v=gTFMULX7vU0,0,Videos
88,10 2   Using Patterns to Extract Relations,https://www.youtube.com/watch?v=kSxfsvF9KQE,0,Videos
89,10 3   Supervised Relation Extraction,https://www.youtube.com/watch?v=a48vIACEC_w,0,Videos
90,10 4   Semi Supervised and Unsupervised Relation Extraction,https://www.youtube.com/watch?v=Jxqx70iX9kc,0,Videos
91,11 1   The Maximum Entropy Model Presentation,https://www.youtube.com/watch?v=GGBz6FySsdA,0,Videos
92,11 2   Feature Overlap Feature Interaction,https://www.youtube.com/watch?v=4pKTLEIJhx0,0,Videos
93,11 3   Conditional Maxent Models for Classification,https://www.youtube.com/watch?v=xn6zU9ds-oA,0,Videos
94,11 4   Smoothing Regularization Priors for Maxent Models,https://www.youtube.com/watch?v=LRNI90r9MHk,0,Videos
95,12 1   An Intro to Parts of Speech and POS Tagging,https://www.youtube.com/watch?v=JhJU0Akkqzo,0,Videos
96,12 2   Some Methods and Results on Sequence Models for POS Tagging,https://www.youtube.com/watch?v=Zm_bmRhbaQg,0,Videos
97,13 1   Syntactic Structure Constituency vs Dependency,https://www.youtube.com/watch?v=XCm4js8wp4A,0,Videos
98,13 2   Empirical Data Driven Approach to Parsing,https://www.youtube.com/watch?v=xLa2A4pBF6I,0,Videos
99,13 3   The Exponential Problem in Parsing,https://www.youtube.com/watch?v=zJ_wC4EW_ak,0,Videos
100,14 1   Instructor Chat,https://www.youtube.com/watch?v=zw5nhoabB_U,0,Videos
101,15 1   CFGs and PCFGs,https://www.youtube.com/watch?v=Z6GsoBA-09k,0,Videos
102,15 2   Grammar Transforms,https://www.youtube.com/watch?v=3WzZL-2zAz0,0,Videos
103,15 3   CKY Parsing,https://www.youtube.com/watch?v=CFEGKVjEH1Q,0,Videos
104,15 4   CKY Example,https://www.youtube.com/watch?v=MIlQwfMZ8O4,0,Videos
105,15 5   Constituency Parser Evaluation,https://www.youtube.com/watch?v=_JtP-32keKE,0,Videos
106,16 1   Lexicalization of PCFGs,https://www.youtube.com/watch?v=FKLfzBgVTeA,0,Videos
107,16 2   Charniak's Model,https://www.youtube.com/watch?v=3NowJlNeXNg,0,Videos
108,16 3   PCFG Independence Assumptions,https://www.youtube.com/watch?v=xWXEcIaK30U,0,Videos
109,16 4   The Return of Unlexicalized PCFGs,https://www.youtube.com/watch?v=VqDAUymCFEY,0,Videos
110,16 5   Latent Variable PCFGs,https://www.youtube.com/watch?v=XFV_lkyt_QI,0,Videos
111,17 1   Dependency Parsing Introduction,https://www.youtube.com/watch?v=1_LQscB4Wso,0,Videos
112,17 2   Greedy Transition Based Parsing,https://www.youtube.com/watch?v=egBq3gi_4No,0,Videos
113,17 3   Dependencies Encode Relational Structure,https://www.youtube.com/watch?v=Ec5g2Y23uTw,0,Videos
114,18 1   Introduction to Information Retrieval,https://www.youtube.com/watch?v=9GaPPnCtbT8,0,Videos
115,18 2   Term Document Incidence Matrices,https://www.youtube.com/watch?v=9Ib0SQkQmNA,0,Videos
116,18 3   The Inverted Index,https://www.youtube.com/watch?v=c0WqESk50nc,0,Videos
117,18 4   Query Processing with the Inverted Index,https://www.youtube.com/watch?v=JqMJKNkxy-w,0,Videos
118,18 5   Phrase Queries and Positional Indexes,https://www.youtube.com/watch?v=e2_Nwaffr3s,0,Videos
119,19 1   Introducing Ranked Retrieval,https://www.youtube.com/watch?v=Ruq1pVFdvz8,0,Videos
120,19 2   Scoring with the Jaccard Coefficient,https://www.youtube.com/watch?v=j_vuazcHjN8,0,Videos
121,19 3   Term Frequency Weighting,https://www.youtube.com/watch?v=iLT6ddK_paI,0,Videos
122,19 4   Inverse Document Frequency Weighting,https://www.youtube.com/watch?v=2MuPP7tFgMQ,0,Videos
123,19 5   TF IDF Weighting,https://www.youtube.com/watch?v=hNXwhF0OZ_o,0,Videos
124,19 6   The Vector Space Model,https://www.youtube.com/watch?v=QV0LrPpCA9Y,0,Videos
125,19 7   Calculating TF IDF Cosine Scores,https://www.youtube.com/watch?v=SzwP2QKBZhY,0,Videos
126,19 8   Evaluating Search Engines,https://www.youtube.com/watch?v=KWc6Dkp33uQ,0,Videos
127,20 1   Word Senses and Word Relations,https://www.youtube.com/watch?v=QRhuv7_t0Gc,0,Videos
128,20 2   WordNet and Other Online Thesauri,https://www.youtube.com/watch?v=YJBYXwP0AkE,0,Videos
129,20 3   Word Similarity and Thesaurus Methods,https://www.youtube.com/watch?v=KHxbsDg4w6M,0,Videos
130,20 4   Word Similarity Distributional Similarity I,https://www.youtube.com/watch?v=ourfgzdoG1g,0,Videos
131,20 5   Word Similarity Distributional Similarity II,https://www.youtube.com/watch?v=Mn0JvsSFzs8,0,Videos
132,21 1   What is Question Answering,https://www.youtube.com/watch?v=U8AvpqVdgBw,0,Videos
133,21 2   Answer Types and Query Formulation,https://www.youtube.com/watch?v=MB7Ec3XTNkE,0,Videos
134,21 3   Passage Retrieval and Answer Extraction,https://www.youtube.com/watch?v=corkeW31Pr0,0,Videos
135,21 4   Using Knowledge in QA,https://www.youtube.com/watch?v=Oy2yprz3bUc,0,Videos
136,21 5   Advanced Answering Complex Questions,https://www.youtube.com/watch?v=g24fe_6HNuo,0,Videos
137,22 1   Introduction to Summarization,https://www.youtube.com/watch?v=wUF9r2pMEag,0,Videos
138,22 2   Generating Snippets,https://www.youtube.com/watch?v=3JvlZmUaM-A,0,Videos
139,22 3   Evaluating Summaries ROUGE,https://www.youtube.com/watch?v=LoXmdN_WpFw,0,Videos
140,22 4   Summarizing Multiple Documents,https://www.youtube.com/watch?v=tKxVJcalVr4,0,Videos
141,23 1   Instructor Chat II,https://www.youtube.com/watch?v=l65_uHR4bww,0,Videos
142,Puzzles 142,http://www.codinghelmet.com/exercises/expression-from-numbers,0,Puzzles
143,Puzzles 143,http://www.codinghelmet.com/exercises/expression-from-numbers,0,Puzzles
144,Puzzles 144,http://www.codinghelmet.com/exercises/expression-from-numbers,0,Puzzles
145,Puzzles 145,http://www.codinghelmet.com/exercises/expression-from-numbers,0,Puzzles
